"rt","url","trial_type","trial_index","time_elapsed","internal_node_id","subject","list","trial","responses","stimulus","key_press"
"11866","static/html/consent.html","html","0","12050","0.0-0.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","",""
"16539","","survey-text","1","29599","0.0-1.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""female"",""Q1"":""23"",""Q2"":""Chinese"",""Q3"":""English"",""Q4"":""US""}","",""
"6258","static/html/instructions.html","html","2","36892","0.0-2.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","",""
"-1","","single-stim","3","38397","0.0-3.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","4","42168","0.0-4.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/26P.mp3","-1"
"-1","","single-stim","5","43674","0.0-5.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","6","45352","0.0-6.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/The Tube.mp3","-1"
"4014","","survey-text","7","50369","0.0-7.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""the tube""}","",""
"-1","","single-stim","8","51874","0.0-8.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","9","53677","0.0-9.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/18P.mp3","-1"
"-1","","single-stim","10","55180","0.0-10.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","11","57560","0.0-11.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/October thirty first.mp3","-1"
"4808","","survey-text","12","63371","0.0-12.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""October 31st""}","",""
"-1","","single-stim","13","64875","0.0-13.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","14","66776","0.0-14.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/7P.mp3","-1"
"-1","","single-stim","15","68281","0.0-15.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","16","70584","0.0-16.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/December 25th.mp3","-1"
"9571","","survey-text","17","81159","0.0-17.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""December 25th""}","",""
"-1","","single-stim","18","82662","0.0-18.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","19","86317","0.0-19.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/14P.mp3","-1"
"-1","","single-stim","20","87822","0.0-20.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","21","89682","0.0-21.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/Kings Cross.mp3","-1"
"5261","","survey-text","22","95946","0.0-22.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""King's Cross""}","",""
"-1","","single-stim","23","97450","0.0-23.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","24","99277","0.0-24.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/25P.mp3","-1"
"-1","","single-stim","25","100782","0.0-25.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","26","102402","0.0-26.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/The Thames.mp3","-1"
"5644","","survey-text","27","109050","0.0-27.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""the Times""}","",""
"-1","","single-stim","28","110554","0.0-28.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","29","112691","0.0-29.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/16P.mp3","-1"
"-1","","single-stim","30","114195","0.0-30.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","31","116136","0.0-31.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/New Years Eve.mp3","-1"
"8715","","survey-text","32","125854","0.0-32.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""the New Year's Eve""}","",""
"-1","","single-stim","33","127358","0.0-33.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","34","129000","0.0-34.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/20P.mp3","-1"
"-1","","single-stim","35","130504","0.0-35.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","36","132653","0.0-36.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/Ten Downing Street.mp3","-1"
"6416","","survey-text","37","140073","0.0-37.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""Tong Daning's Street""}","",""
"-1","","single-stim","38","141577","0.0-38.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","39","143560","0.0-39.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/3P.mp3","-1"
"-1","","single-stim","40","145064","0.0-40.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","41","146770","0.0-41.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/Big Ben.mp3","-1"
"3384","","survey-text","42","151157","0.0-42.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""Big Ben""}","",""
"-1","","single-stim","43","152662","0.0-43.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","44","154850","0.0-44.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/21P.mp3","-1"
"-1","","single-stim","45","156354","0.0-45.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","46","158344","0.0-46.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/The Amazon River.mp3","-1"
"4105","","survey-text","47","163454","0.0-47.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""Amazon River""}","",""
"-1","","single-stim","48","164958","0.0-48.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","49","167075","0.0-49.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/27P.mp3","-1"
"-1","","single-stim","50","168580","0.0-50.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","51","170440","0.0-51.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/The White House.mp3","-1"
"4042","","survey-text","52","175485","0.0-52.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""the White House""}","",""
"-1","","single-stim","53","176990","0.0-53.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","54","179442","0.0-54.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/6P.mp3","-1"
"-1","","single-stim","55","180947","0.0-55.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","56","182888","0.0-56.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/Buzz Lightyear.mp3","-1"
"7506","","survey-text","57","191399","0.0-57.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""the white field""}","",""
"-1","","single-stim","58","192904","0.0-58.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","59","195778","0.0-59.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/24P.mp3","-1"
"-1","","single-stim","60","197284","0.0-60.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","61","199405","0.0-61.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/The Northern Lights.mp3","-1"
"4447","","survey-text","62","204857","0.0-62.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""I don't know""}","",""
"-1","","single-stim","63","206361","0.0-63.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","64","207667","0.0-64.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/5P.mp3","-1"
"-1","","single-stim","65","209171","0.0-65.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","66","211293","0.0-66.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/Buckingham Palace.mp3","-1"
"5634","","survey-text","67","217931","0.0-67.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""I don't know""}","",""
"-1","","single-stim","68","219436","0.0-68.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-fixation' style='display:flex; align-items:center; justify-content:center; height:100vh'><strong>+</strong></div>","-1"
"-1000","","single-audio","69","221443","0.0-69.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/questions/2P.mp3","-1"
"-1","","single-stim","70","222948","0.0-70.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","<div id='container-red'> </div>","-1"
"-1000","","single-audio","71","224706","0.0-71.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","","static/js/jspsych/answers/Andy Murray.mp3","-1"
"4208","","survey-text","72","229919","0.0-72.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""I don't know""}","",""
"5368","","survey-text","73","236292","0.0-73.0","32124","1b","2,7,6,0,8,4,10,5,3,9,13,1,11,12","{""Q0"":""000000""}","",""
